Municipality;Time;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
Odense;2016K3;14368;17354
Odense;2016K4;14094;17485
Odense;2017K1;13855;17503
Odense;2017K2;14721;18366
Odense;2017K3;13867;19452
Odense;2017K4;14497;19038
Odense;2018K1;14883;20186
Odense;2018K2;15271;20257
Odense;2018K3;14875;19668
Odense;2018K4;15431;21161
Odense;2019K1;15294;20854
Odense;2019K2;15787;22465
Odense;2019K3;15980;21261
Odense;2019K4;16084;22855
Odense;2020K1;16237;22970
Odense;2020K2;15677;22312
Odense;2020K3;15880;23491
Odense;2020K4;16662;22821
Odense;2021K1;16861;23836
Odense;2021K2;17746;24707
Odense;2021K3;18268;23690
Odense;2021K4;18182;23388
Odense;2022K1;18223;24639
Odense;2022K2;18491;23540
Odense;2022K3;17761;23334
Odense;2022K4;16655;19864
Odense;2023K1;16769;21633
Odense;2023K2;17439;22381
Odense;2023K3;17959;22141
Odense;2023K4;18588;22964
Odense;2024K1;17904;21637
Odense;2024K2;17674;22829
Odense;2024K3;17955;22038
Odense;2024K4;18183;23311
Assens;1992K1;2953;NA
Assens;1992K2;2935;NA
Assens;1992K3;2983;NA
Assens;1992K4;2984;NA
Assens;1993K1;3138;NA
Assens;1993K2;2911;NA
Assens;1993K3;3208;NA
Assens;1993K4;3204;NA
Assens;1994K1;3000;NA
Assens;1994K2;3232;NA
Assens;1994K3;3576;NA
Assens;1994K4;3026;NA
Assens;1995K1;3202;NA
Assens;1995K2;3438;NA
Assens;1995K3;3374;NA
Assens;1995K4;3466;NA
Assens;1996K1;3753;NA
Assens;1996K2;3769;NA
Assens;1996K3;3733;NA
Assens;1996K4;4106;NA
Assens;1997K1;3975;NA
Assens;1997K2;4419;NA
Assens;1997K3;4413;NA
Assens;1997K4;4477;NA
Assens;1998K1;4538;NA
Assens;1998K2;4712;NA
Assens;1998K3;4949;NA
Assens;1998K4;4668;NA
Assens;1999K1;4907;NA
Assens;1999K2;5316;NA
Assens;1999K3;5203;NA
Assens;1999K4;4975;NA
Assens;2000K1;5199;NA
Assens;2000K2;5317;NA
Assens;2000K3;5563;NA
Assens;2000K4;5464;NA
Assens;2001K1;5034;NA
Assens;2001K2;5273;NA
Assens;2001K3;5575;NA
Assens;2001K4;5320;NA
Assens;2002K1;5027;NA
Assens;2002K2;5444;NA
Assens;2002K3;5798;NA
Assens;2002K4;5467;NA
Assens;2003K1;5442;NA
Assens;2003K2;5450;NA
Assens;2003K3;5486;NA
Assens;2003K4;5766;NA
Assens;2004K1;5746;NA
Assens;2004K2;5936;NA
Assens;2004K3;6072;NA
Assens;2004K4;6390;NA
Assens;2005K1;5775;NA
Assens;2005K2;6258;NA
Assens;2005K3;6484;NA
Assens;2005K4;6294;NA
Assens;2006K1;6888;NA
Assens;2006K2;7589;10708
Assens;2006K3;8077;NA
Assens;2006K4;8363;NA
Assens;2007K1;7275;NA
Assens;2007K2;8245;NA
Assens;2007K3;7982;NA
Assens;2007K4;8976;14589
Assens;2008K1;8986;NA
Assens;2008K2;8821;NA
Assens;2008K3;8581;NA
Assens;2008K4;8728;NA
Assens;2009K1;8573;NA
Assens;2009K2;8520;NA
Assens;2009K3;8592;NA
Assens;2009K4;8016;NA
Assens;2010K1;8322;NA
Assens;2010K2;7862;NA
Assens;2010K3;8293;NA
Assens;2010K4;8040;NA
Assens;2011K1;8336;NA
Assens;2011K2;7349;NA
Assens;2011K3;7839;NA
Assens;2011K4;7045;NA
Assens;2012K1;6895;NA
Assens;2012K2;6929;NA
Assens;2012K3;7025;NA
Assens;2012K4;6417;NA
Assens;2013K1;6920;NA
Assens;2013K2;7273;NA
Assens;2013K3;6199;NA
Assens;2013K4;6578;NA
Assens;2014K1;6490;NA
Assens;2014K2;7010;NA
Assens;2014K3;6390;NA
Assens;2014K4;6288;NA
Assens;2015K1;6896;NA
Assens;2015K2;7386;NA
Assens;2015K3;6633;NA
Assens;2015K4;6598;NA
Assens;2016K1;7024;NA
Assens;2016K2;6688;NA
Assens;2016K3;6767;NA
Assens;2016K4;6934;NA
Assens;2017K1;7319;NA
Assens;2017K2;7066;NA
Assens;2017K3;7391;NA
Assens;2017K4;6572;NA
Assens;2018K1;7366;NA
Assens;2018K2;7462;NA
Assens;2018K3;7271;NA
Assens;2018K4;7131;NA
Assens;2019K1;7167;NA
Assens;2019K2;7006;NA
Assens;2019K3;6645;NA
Assens;2019K4;7473;NA
Assens;2020K1;7371;NA
Assens;2020K2;7393;NA
Assens;2020K3;7700;NA
Assens;2020K4;7735;12075
Assens;2021K1;7951;12401
Assens;2021K2;8073;14109
Assens;2021K3;7998;NA
Assens;2021K4;7903;NA
Assens;2022K1;8688;NA
Assens;2022K2;7921;NA
Assens;2022K3;8084;NA
Assens;2022K4;8174;NA
Assens;2023K1;7906;NA
Assens;2023K2;8303;NA
Assens;2023K3;7144;NA
Assens;2023K4;7397;NA
Assens;2024K1;7981;NA
Assens;2024K2;7889;NA
Assens;2024K3;8440;NA
Assens;2024K4;8023;NA
Aalborg;1992K1;3764;4787
Aalborg;1992K2;3895;4681
Aalborg;1992K3;3645;4567
Aalborg;1992K4;3581;4475
Aalborg;1993K1;3560;4691
Aalborg;1993K2;3972;4691
Aalborg;1993K3;4079;5075
Aalborg;1993K4;4077;5116
Aalborg;1994K1;4020;5087
Aalborg;1994K2;4086;5453
Aalborg;1994K3;4165;5255
Aalborg;1994K4;4261;5199
Aalborg;1995K1;4276;5134
Aalborg;1995K2;4418;5388
Aalborg;1995K3;4463;5157
Aalborg;1995K4;4721;5572
Aalborg;1996K1;4791;5533
Aalborg;1996K2;4987;5756
Aalborg;1996K3;4903;5728
Aalborg;1996K4;5022;5815
Aalborg;1997K1;5382;6166
Aalborg;1997K2;5520;6493
Aalborg;1997K3;5814;6745
Aalborg;1997K4;5812;6878
Aalborg;1998K1;6198;7209
Aalborg;1998K2;6109;7698
Aalborg;1998K3;6517;7806
